fecha,Producto,Categoría,Cantidad,Precio Unitario (€),Total Venta (€)
2025-05-01,Ficus lyrata,Interior,3,25.0,75.0
2025-05-02,Suculenta mix,Exterior,10,5.5,55.0
2025-05-03,Monstera deliciosa,Interior,2,30.0,60.0
2025-05-04,Helecho espada,Sombra,4,12.0,48.0
2025-05-05,Poto dorado,Interior,5,15.0,75.0
2025-05-06,Aloe vera,Exterior,6,8.0,48.0
2025-05-07,Cactus variedad,Exterior,12,4.0,48.0
2025-05-08,Bambú de la suerte,Interior,8,7.0,56.0
2025-05-09,Lavanda,Exterior,7,6.5,45.5
2025-05-10,Rosa miniatura,Exterior,3,10.0,30.0
